state,ethanol_beer_gallons_per_capita,ethanol_wine_gallons_per_capita,ethanol_spirit_gallons_per_capita,ethanol_all_drinks_gallons_per_capita,number_of_beers,number_of_glasses_wine,number_of_shots_liquor,number_of_drinks_total,state_code
Maine,1.2660975609756098,0.354390243902439,0.8592682926829269,2.479756097560976,300.11201445347785,70.32860654187938,178.40444681819082,529.0146341463416,23
Maryland,1.1065853658536586,0.33731707317073173,0.9458536585365854,2.3899999999999997,262.30171635049686,66.94044242768008,196.3816192906455,509.8666666666667,24
Massachusetts,1.1641463414634146,0.5290243902439025,0.9536585365853659,2.6465853658536584,275.9457994579946,104.98468519568917,198.00209680928927,564.6048780487805,25
Michigan,1.2148780487804878,0.2880487804878049,0.8221951219512196,2.325853658536585,287.9710930442638,57.163168840990735,170.7071786046328,496.1821138211382,26
Midwest Region,1.298048780487805,0.2697560975609756,0.7646341463414634,2.332439024390244,307.68563685636855,53.53299300434864,158.75615690463476,497.5869918699187,
Minnesota,1.2495121951219512,0.30609756097560975,0.9946341463414634,2.550487804878049,296.18066847335143,60.74494233314426,206.50960378216925,544.1040650406504,27
Mississippi,1.3148780487804879,0.11829268292682926,0.698780487804878,2.1321951219512196,311.6747967479675,23.475137076952166,145.0833778410777,454.8682926829269,28
Missouri,1.3126829268292683,0.26146341463414635,0.7604878048780488,2.3334146341463415,311.1544715447155,51.88731329173757,157.8952782228552,497.79512195121947,29
Montana,1.6363414634146343,0.35097560975609754,0.8434146341463414,2.831219512195122,387.873532068654,69.65097371903951,175.1128518584456,603.9934959349594,30
Nebraska,1.4173170731707316,0.19878048780487806,0.6846341463414635,2.301219512195122,335.95663956639567,39.44791075817735,142.14626233853582,490.9268292682927,31
Nevada,1.8060975609756096,0.6690243902439025,1.7180487804878048,4.195121951219512,428.1120144534779,132.76763093212327,356.7076137914664,894.959349593496,32
New Hampshire,1.8421951219512196,0.6548780487804878,1.9887804878048783,4.4870731707317075,436.6684733514002,129.96029495178672,412.9179277194232,957.2422764227642,33
New Jersey,1.0263414634146342,0.5090243902439024,0.9097560975609755,2.4451219512195124,243.28093947606146,101.01569294762714,188.8869107669179,521.6260162601626,34
New Mexico,1.4951219512195122,0.2902439024390244,0.7339024390243902,2.518780487804878,354.39927732610664,57.598789941387786,152.3755266749748,537.339837398374,35
New York,1.0175609756097561,0.438780487804878,0.7797560975609756,2.2365853658536587,241.19963866305332,87.07581773492153,161.89583209700712,477.13821138211387,36
North Carolina,1.119512195121951,0.28219512195121954,0.6321951219512195,2.03390243902439,265.36585365853665,56.001512573265266,131.25867901014777,433.89918699186995,37
